sentence,highlight,category,subcategory,polarity
Until the rail service improves people will continue to use the ever increasingly clogged up roads.,NONE,NONE,NONE,NONE
"Simply widening and building new roads is not a solution as the number of cars on the roads simply increases to ""fill in the gaps"".",is not a solution,APPRECIATION,WORTH,NEG
With the Newbury bypass work now being stopped for 3 days running I can sympathise with the protestors.,sympathise with the protestors,JUDGEMENT,PROPRIETY,POS
We are simply running out of room to build new roads.,NONE,NONE,NONE,NONE
One of the main side effects of road travel in particular is pollution.,pollution,APPRECIATION,REACTION,NEG
"Acid rain, asthma and many other problems are rife and soon the fuels for these cars will be running out.",rife,APPRECIATION,WORTH,NEG
Gas buses and gars is really only a short term solution and a renewable source must be found.,only a short term solution,APPRECIATION,WORTH,NEG
But with petrol companies unwilling to investigate water and alcohol powered cars for fear of losing petrol sales these still seem a long way off as our everyday form of transport.,unwilling to investigate,JUDGEMENT,TENACITY,NEG
Solutions for these problems in Britain have been fairly unimaginative and unsuccessful.,unimaginative and unsuccessful,APPRECIATION,REACTION,NEG
Park and ride schemes are common to discourage people from taking their cars into city centres as are pedestrian streets and one way systems but they have done little to relieve the problem.,have done little to relieve,JUDGEMENT,CAPACITY,NEG
The average speed of traffic in Central London is no faster than that of 200 years ago when horse drawn carriages were being used.,NONE,NONE,NONE,NONE
What is needed is a large increase in road tax and tax on fuels to make car travel more expensive.,NONE,NONE,NONE,NONE
"Encourage the use of bikes with schemes like the ""Green Bike Scheme"" proposed in Exeter where bikes can be picked up and used and dropped off at various points around the city for free.",NONE,NONE,NONE,NONE
Introduce heavy tolls on the roads to combat foreign traffic in Britain as well as local.,NONE,NONE,NONE,NONE
Encourage car pools to reduce the number of cars driving around with one person in them.,NONE,NONE,NONE,NONE
Firmly impose Green Belts around cities to reduce urban sprawl.,NONE,NONE,NONE,NONE
Introduce a heavy tax system for commuters who make up a large bulk of city traffic.,NONE,NONE,NONE,NONE
The problem with these schemes is that they are unpopular and beneficial to nobody in the short term.,unpopular and beneficial to nobody,APPRECIATION,WORTH,NEG
For these reasons any political party proposing these would be unlikely to be voted for but Britain must face up to its transport problems and do something about them.,NONE,NONE,NONE,NONE
"Before any essay can be started, the key words in the essay title must be defined and understood.",NONE,NONE,NONE,NONE
"""Main Problems"" are those which worry road and rail transport operators to the extent that they are significant enough to put them off.",to put them off,JUDGEMENT,TENACITY,NEG
The essay will have four sections too it.,NONE,NONE,NONE,NONE
Firstly the main problems of road transport will be identified and this shall be followed by suggested solutions to these problems.,NONE,NONE,NONE,NONE
"The same format will be followed for rail transport, and as their problems are completely different in most respects, it must be clear that the arguments must be kept seperate.",NONE,NONE,NONE,NONE
Road transport includes a wide range of vehicles from bicycle to coach.,NONE,NONE,NONE,NONE
Each carrying passengers on our roads to their destinations.,NONE,NONE,NONE,NONE
"The major problem of the road as a route to transport, is it can only with hold a certain number of vehicles at any time.",NONE,NONE,NONE,NONE
"In short this means, there is an ever increasing congestion problem on most British roads, whether they be motorway or 'A' roads.",ever increasing congestion problem,APPRECIATION,WORTH,NEG
Country lanes and small 'B' roads shall be excluded from the purpose of this essay.,NONE,NONE,NONE,NONE
"""Traffic Jams"" are on the increase.",NONE,NONE,NONE,NONE
This is due to two main reasons.,NONE,NONE,NONE,NONE
"The first is that there are too many cars on the road, and secondy poor planning of road systems built before the extent of such congestion could be seen.",poor planning,APPRECIATION,COMPOSITION,NEG
"One way systems have been installed in many cities, where careful planning of route ways, may have made it easier today.",careful planning,APPRECIATION,COMPOSITION,POS
The extent of the problem is that too many vehicles want to use the same roads at the same time.,NONE,NONE,NONE,NONE
The 'A' roads into city-centres are used very heavily in rush hours between seven o'clock in the morning to nine thirty and four to six thirty in the evening.,NONE,NONE,NONE,NONE
These roads would be free at night.,NONE,NONE,NONE,NONE
The same applies for motorways always congested at peak times during holiday seasons.,NONE,NONE,NONE,NONE
The second major problem is that not many new roads can be built.,major problem,APPRECIATION,WORTH,NEG
"Ever increasing numbers of protestors and environmentalists are blockading the paths of construction of 'by-passes', e.g. the Dwyford Downs.",NONE,NONE,NONE,NONE
"This is not a significant problem, but the areas where new roads are needed most are in the centre of massive cities where new roads can not be possibly constructed, there is simply not enough room.",there is simply not enough room,APPRECIATION,REACTION,NEG
Away from cities road construction faces the problem of geographical sites.,faces the problem,APPRECIATION,REACTION,NEG
The shape of the land and its landforms extremely hinder the paths of new ventures.,hinder,APPRECIATION,WORTH,NEG
Rivers need bridges to cross them costing more money which is not already there.,NONE,NONE,NONE,NONE
Which means construction is stopped until further time when resources and money again become readily available.,NONE,NONE,NONE,NONE
"Solutions to any road problems, are always going to cause groups of people harm.",cause groups of people harm,APPRECIATION,WORTH,NEG
Congestion could be reduced if more and better uses of public transport were used.,NONE,NONE,NONE,NONE
"making people use buses and ""underground systems"" seems logical when they are operating anyway.",seems logical,APPRECIATION,REACTION,NEG
Persuading people to leave their cars at home must become a major issue.,NONE,NONE,NONE,NONE
"Increasingly people cycle to work and walk, but because of the unreliability of U.K. weather, a rainy day means back into the car and comfort to work.",NONE,NONE,NONE,NONE
A solution attempted to reduce pollution and traffic problems in Mexico City was to only allow certain coloured cars onto the roads on specific days.,NONE,NONE,NONE,NONE
Surely the U.K. can come up with something more socially acceptable than this.,can come up with something more socially acceptable,JUDGEMENT,CAPACITY,POS
Some say increasing prices on petrol and taxing of the use of roads will help.,NONE,NONE,NONE,NONE
"This is disastorous, as this only affects the poor.","disastorous, as this only affects the poor",JUDGEMENT,PROPRIETY,NEG
Why should those with more disposable incomes be allowed to pay these taxes and use the roads.,Why should those with more disposable incomes be allowed to pay these taxes and use the roads.,JUDGEMENT,PROPRIETY,NEG
This system simply will lead to the richer earners to use our roads.,NONE,NONE,NONE,NONE
Rail transport has different problems.,NONE,NONE,NONE,NONE
